area_sqft,bedrooms,bathrooms,age_years,location_score,distance_to_city_km,price
675,5,2,39,8,15.1,506300
1720,4,3,10,7,19.1,736500
1037,2,1,8,10,10.5,624500
3050,3,2,29,9,29.0,639900
2103,5,3,4,9,14.8,944500
711,5,2,0,7,14.6,671300
1419,2,3,49,3,27.1,203900
2139,2,3,23,3,1.0,639700
1872,3,2,20,3,26.1,382400
3757,1,2,29,6,4.3,776000
3970,5,2,31,2,11.7,733000
3083,3,3,48,5,14.9,627500
4156,5,2,49,2,14.6,667500
845,1,1,48,5,1.7,281300
866,3,3,42,10,9.9,601000
3102,4,3,22,6,11.0,859600
3278,3,3,30,4,28.7,576700
1404,5,1,0,6,27.6,529900
3739,2,3,34,9,17.7,847200
2522,3,3,20,8,28.0,660500
1592,2,2,15,1,26.0,269100
1956,2,3,20,9,11.6,757100
2419,5,1,17,6,4.0,784200
891,2,3,10,5,18.4,464700
3488,1,1,0,1,10.0,586200
4084,5,2,0,5,0.8,1108500
1599,2,1,34,8,29.4,309900
3371,5,3,35,1,29.1,497400
2798,4,1,28,7,16.3,652000
3578,5,2,41,2,18.7,611900
4359,2,1,35,1,20.2,474400
4016,4,2,21,8,27.8,812600
3616,1,2,38,7,14.3,675900
4275,2,1,45,1,17.7,438400
1849,4,3,24,4,7.2,678600
4396,5,3,22,7,7.7,1120500
1676,1,3,23,8,15.9,584900
683,4,3,28,5,7.3,550900
3497,2,2,11,9,1.4,1028500
3684,5,3,11,8,11.4,1084000
1263,5,2,22,10,22.6,654700
3761,5,3,28,7,8.7,1008400
790,3,2,36,4,25.9,191900
812,2,1,2,10,21.2,561100
2749,4,1,29,3,19.8,492100
1986,4,2,39,6,26.8,454200
3098,3,3,41,5,2.7,770800
1272,5,1,42,2,5.8,377500
3042,1,1,8,2,27.3,395600
1661,4,1,38,6,27.3,350700
4427,1,2,26,2,2.8,749000
4055,2,2,17,3,23.3,644300
1719,1,3,16,2,1.0,565200
3644,5,1,7,8,4.5,1096200
4423,4,1,4,2,3.7,911000
1444,2,2,46,3,9.2,333500
757,3,2,3,9,12.0,667900
2228,1,2,48,7,27.4,320500
2948,3,2,23,6,13.4,716800
3946,1,3,46,7,4.2,817600
2451,3,3,28,9,8.5,834500
1873,2,2,44,4,0.7,490900
3488,2,3,36,3,1.3,742200
3152,4,3,31,2,13.2,668500
1264,2,2,48,6,15.6,344200
2107,1,2,40,1,7.9,319000
2827,1,1,21,5,11.7,547800
4094,2,1,0,4,3.5,877300
3293,2,3,28,8,19.9,760700
3351,2,3,7,5,12.1,846200
1972,4,2,43,5,5.3,610200
1841,3,3,26,1,15.2,445500
1915,1,1,5,6,6.6,595800
1675,3,1,12,3,9.1,477900
592,3,2,1,6,4.2,661100
1259,5,1,21,7,23.5,508000
1748,3,1,25,10,8.7,682100
2185,4,2,49,7,28.7,417000
2904,5,3,25,8,12.5,911500
1431,1,1,21,6,5.1,489900
3029,2,1,38,8,21.3,571700
3127,5,3,43,5,22.1,623800
4463,2,2,37,9,26.5,800700
1743,5,2,25,8,4.4,805000
981,4,2,4,8,23.8,603300
1543,3,2,29,9,25.9,526500
3471,5,3,22,4,9.5,893700
4088,2,1,32,4,13.9,637600
1287,1,2,22,8,18.8,479700
533,3,3,34,1,7.7,302000
3695,5,1,10,1,26.2,577100
1810,1,3,13,7,21.1,579400
4269,1,1,35,8,25.8,642900
3289,5,3,33,1,13.8,660800
2365,2,3,38,3,15.8,457400
1489,1,1,39,8,6.2,460800
2501,3,2,48,5,9.8,528800
2419,1,1,16,3,22.0,368800
1939,4,3,4,6,28.8,672500
1654,1,1,23,9,5.0,574300
1607,2,3,0,1,2.0,605000
902,4,3,18,6,2.5,702200
2569,3,2,9,4,13.3,675000
2155,1,3,6,5,23.9,550100
4151,1,3,17,6,7.1,936800
2751,5,1,2,9,14.6,921900
2478,5,2,14,1,15.7,606500
547,4,1,46,6,25.2,160800
1284,2,2,2,10,5.3,806200
3072,3,1,31,4,0.9,681300
849,5,2,8,6,15.4,619300
2655,1,3,13,1,11.0,559200
4317,5,2,28,2,9.1,820200
893,3,2,41,8,23.3,352100
1344,3,2,26,8,20.7,530500
2359,1,1,39,8,3.0,577200
1122,4,1,18,3,16.7,368200
1154,2,1,20,4,24.0,267700
1136,1,3,23,7,27.3,378900
776,4,1,28,5,0.5,500000
809,2,3,28,9,24.3,420900
2544,3,2,15,3,1.8,713900
2435,1,2,45,8,20.6,452200
1327,2,3,33,6,18.1,447000
2583,4,3,0,8,28.6,845200
2340,4,3,1,3,19.1,715100
2808,5,3,24,10,2.6,1093600
2335,4,1,39,4,20.3,423700
3004,2,3,36,1,8.0,570900
1998,5,1,42,3,25.0,317700
2286,4,2,47,10,1.4,821500
4138,5,2,22,10,10.1,1118400
4127,1,3,43,5,20.5,665600
3555,2,2,1,4,5.1,854500
3787,3,1,20,6,19.6,715300
1473,3,3,8,7,21.1,651100
2982,1,2,23,4,22.1,495800
539,5,3,46,9,26.3,435700
1655,4,1,27,5,12.7,471100
3985,2,2,35,9,4.7,922000
2432,1,3,14,2,8.2,586100
960,5,3,22,5,12.0,598600
3395,2,3,25,3,2.1,789500
4369,1,1,25,9,21.4,775200
4220,3,1,46,6,2.4,806300
1066,5,1,30,1,2.2,419000
1178,5,3,42,10,28.0,571200
873,5,3,12,9,24.3,690900
3258,5,1,46,2,8.0,547100
4233,4,3,45,2,10.6,729200
