Age,Experience_Years,Annual_Income,Salary
22,0,28000,30000
23,1,30000,32000
24,1,32000,34000
25,2,34000,36000
26,3,36000,38000
27,4,38000,40000
28,5,40000,42000
29,6,42000,44000
30,7,44000,46000
31,8,46000,48000
32,9,48000,50000
33,10,50000,52000
34,11,52000,54000
35,12,54000,56000
36,13,56000,58000
37,14,58000,60000
38,15,60000,62000
39,16,62000,64000
40,17,64000,66000
41,18,66000,68000
42,19,68000,70000
43,20,70000,72000
44,21,72000,74000
45,22,74000,76000
46,23,76000,78000
47,24,78000,80000
48,25,80000,82000
49,26,82000,84000
50,27,84000,86000
51,28,86000,88000
52,29,88000,90000
53,30,90000,92000
54,31,92000,94000
55,32,94000,96000
56,33,96000,98000
57,34,98000,100000
58,35,100000,102000
59,36,102000,104000
60,37,104000,106000
61,38,106000,108000
62,39,108000,110000
63,40,110000,112000
64,41,112000,114000
65,42,114000,116000
66,43,116000,118000
67,44,118000,120000
68,45,500000,122000
69,46,750000,124000
70,47,1000000,126000
71,48,1500000,128000
