Age,Salary,Education,City,Department,Gender,Experience
22.0,350000.0,Bachelor,Hyderabad,IT,Male,1.0
25.0,520000.0,Master,Bangalore,HR,Female,3.0
28.0,750000.0,Master,Chennai,IT,Male,5.0
31.0,1200000.0,PhD,Hyderabad,Finance,Female,8.0
35.0,1800000.0,PhD,Mumbai,IT,Male,11.0
24.0,450000.0,Bachelor,Pune,Marketing,Female,2.0
29.0,900000.0,Master,Delhi,Finance,Male,6.0
42.0,2500000.0,PhD,Bangalore,IT,Female,17.0
27.0,680000.0,Bachelor,Chennai,HR,Male,4.0
38.0,3200000.0,PhD,Hyderabad,Finance,Male,14.0
23.0,,Bachelor,Pune,IT,Female,1.0
26.0,610000.0,Master,,HR,Male,4.0
,,Bachelor,Delhi,Marketing,Female,2.0
33.0,1500000.0,Master,Mumbai,,Male,9.0
45.0,4500000.0,PhD,Bangalore,Finance,Female,20.0
30.0,980000.0,Bachelor,Hyderabad,IT,,7.0
21.0,300000.0,Bachelor,Chennai,Marketing,Male,
36.0,2100000.0,Master,Pune,IT,Female,12.0
39.0,,PhD,Delhi,Finance,Male,15.0
27.0,720000.0,Bachelor,Mumbai,HR,Female,5.0
48.0,6500000.0,PhD,Hyderabad,IT,Male,24.0
32.0,1350000.0,Master,Bangalore,Marketing,Female,9.0
25.0,,Bachelor,,IT,Male,3.0
29.0,880000.0,Master,Chennai,Finance,,6.0
41.0,2800000.0,PhD,Delhi,HR,Female,18.0
34.0,1750000.0,Master,Mumbai,IT,Male,10.0
22.0,400000.0,Bachelor,Pune,Marketing,Female,1.0
37.0,2300000.0,PhD,Hyderabad,Finance,Male,13.0
44.0,,Master,Bangalore,IT,Female,19.0
26.0,560000.0,Bachelor,Chennai,HR,Male,3.0
